trend_id ,product_id, trend_date , trend_value , trend_type , trend_duration , trend_growth_rate , trend_seasonality , trend_volatility , trend_forecast , trend_analysis
1,1, 2023-01-01 ,105.3, sales ,30,0.08,0.2,0.15,110.5, Steady growth in sales with moderate seasonality and volatility. Forecast indicates continued positive trend.
2,2, 2023-01-01 ,92.7, sales ,30,0.12,0.25,0.18,99.1, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
3,3, 2023-01-01 ,1187.4, sales ,30,0.05,0.15,0.12,1250.2, Consistent sales growth with low to moderate seasonality and volatility. Forecast indicates stable performance.
4,4, 2023-01-01 ,97.5, sales ,30,0.09,0.22,0.16,105.3, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
5,5, 2023-02-01 ,108.2, sales ,30,0.07,0.18,0.14,112.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
6,6, 2023-02-01 ,95.4, sales ,30,0.11,0.23,0.17,102.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
7,7, 2023-02-01 ,1203.6, sales ,30,0.04,0.13,0.1,1265.1, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
8,8, 2023-02-01 ,100.1, sales ,30,0.08,0.2,0.15,108.4, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
9,9, 2023-03-01 ,110.7, sales ,30,0.06,0.16,0.13,114.1, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
10,10, 2023-03-01 ,98.2, sales ,30,0.1,0.21,0.16,105, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
11,11, 2023-03-01 ,1216.6, sales ,30,0.03,0.12,0.09,1274.7, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
12,12, 2023-03-01 ,102.4, sales ,30,0.07,0.18,0.14,110.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
13,13, 2023-04-01 ,112.9, sales ,30,0.05,0.14,0.12,115.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
14,14, 2023-04-01 ,100.1, sales ,30,0.09,0.19,0.15,107.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
15,15, 2023-04-01 ,1225.8, sales ,30,0.02,0.1,0.08,1280.5, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
16,16, 2023-04-01 ,104.6, sales ,30,0.06,0.16,0.13,113, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
17,17, 2023-05-01 ,114.8, sales ,30,0.04,0.12,0.11,116.5, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
18,18, 2023-05-01 ,101.8, sales ,30,0.08,0.17,0.14,109.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
19,19, 2023-05-01 ,1232.6, sales ,30,0.01,0.09,0.07,1284.2, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
20,20, 2023-05-01 ,106.3, sales ,30,0.05,0.14,0.12,114.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
21,21, 2023-06-01 ,116.3, sales ,30,0.03,0.1,0.1,117.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
22,22, 2023-06-01 ,103.1, sales ,30,0.07,0.15,0.13,111, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
23,23, 2023-06-01 ,1237.9, sales ,30,0.01,0.08,0.06,1286.6, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
24,24, 2023-06-01 ,107.8, sales ,30,0.04,0.12,0.11,116.2, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
25,25, 2023-07-01 ,117.5, sales ,30,0.02,0.09,0.09,118, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
26,26, 2023-07-01 ,104.3, sales ,30,0.06,0.14,0.12,112.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
27,27, 2023-07-01 ,1241.7, sales ,30,0.01,0.07,0.05,1287.8, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
28,28, 2023-07-01 ,108.9, sales ,30,0.03,0.1,0.1,117.3, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
29,29, 2023-08-01 ,118.4, sales ,30,0.02,0.08,0.08,118.4, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
30,30, 2023-08-01 ,105.2, sales ,30,0.05,0.12,0.11,113.2, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
31,31, 2023-08-01 ,1244.1, sales ,30,0.01,0.06,0.04,1288.6, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
32,32, 2023-08-01 ,109.6, sales ,30,0.02,0.09,0.09,118, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
33,33, 2023-09-01 ,118.9, sales ,30,0.01,0.07,0.07,118.6, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
34,34, 2023-09-01 ,105.7, sales ,30,0.04,0.11,0.1,113.8, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
35,35, 2023-09-01 ,1245.7, sales ,30,0.01,0.05,0.03,1288.9, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
36,36, 2023-09-01 ,110.1, sales ,30,0.01,0.08,0.08,118.4, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
37,37, 2023-10-01 ,119.1, sales ,30,0.01,0.06,0.06,118.7, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
38,38, 2023-10-01 ,105.9, sales ,30,0.03,0.1,0.09,114.1, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
39,39, 2023-10-01 ,1246.5, sales ,30,0.01,0.04,0.02,1289.1, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
40,40, 2023-10-01 ,110.4, sales ,30,0.01,0.07,0.07,118.6, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
41,41, 2023-11-01 ,119.1, sales ,30,0,0.05,0.05,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
42,42, 2023-11-01 ,106, sales ,30,0.02,0.09,0.08,114.2, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
43,43, 2023-11-01 ,1246.9, sales ,30,0,0.03,0.01,1289.2, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
44,44, 2023-11-01 ,110.5, sales ,30,0,0.06,0.06,118.7, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
45,45, 2023-12-01 ,119.1, sales ,30,0,0.04,0.04,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
46,46, 2023-12-01 ,106, sales ,30,0.01,0.08,0.07,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
47,47, 2023-12-01 ,1247, sales ,30,0,0.02,0.01,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
48,48, 2023-12-01 ,110.6, sales ,30,0,0.05,0.05,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
49,49, 2024-01-01 ,119.1, sales ,30,0,0.03,0.03,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
50,50, 2024-01-01 ,106, sales ,30,0.01,0.07,0.06,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
51,1, 2024-01-01 ,1247.1, sales ,30,0,0.01,0.01,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
52,2, 2024-01-01 ,110.6, sales ,30,0,0.04,0.04,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
53,3, 2024-02-01 ,119.1, sales ,30,0,0.02,0.02,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
54,4, 2024-02-01 ,106, sales ,30,0,0.06,0.05,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
55,5, 2024-02-01 ,1247.1, sales ,30,0,0.01,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance
56,6, 2024-02-01 ,110.6, sales ,30,0,0.04,0.03,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
57,7, 2024-03-01 ,119.1, sales ,30,0,0.02,0.01,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
58,8, 2024-03-01 ,106, sales ,30,0,0.05,0.05,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
59,9, 2024-03-01 ,1247.1, sales ,30,0,0.01,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
60,10, 2024-03-01 ,110.6, sales ,30,0,0.03,0.03,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
61,11, 2024-04-01 ,119.1, sales ,30,0,0.01,0.01,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
62,12, 2024-04-01 ,106, sales ,30,0,0.05,0.05,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
63,13, 2024-04-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
64,14, 2024-04-01 ,110.6, sales ,30,0,0.03,0.03,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
65,15, 2024-05-01 ,119.1, sales ,30,0,0.01,0.01,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
66,16, 2024-05-01 ,106, sales ,30,0,0.05,0.04,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
67,17, 2024-05-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
68,18, 2024-05-01 ,110.6, sales ,30,0,0.03,0.02,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
69,19, 2024-06-01 ,119.1, sales ,30,0,0.01,0.01,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
70,20, 2024-06-01 ,106, sales ,30,0,0.04,0.04,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
71,21, 2024-06-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
72,22, 2024-06-01 ,110.6, sales ,30,0,0.03,0.02,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
73,23, 2024-07-01 ,119.1, sales ,30,0,0.01,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
74,24, 2024-07-01 ,106, sales ,30,0,0.04,0.04,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
75,25, 2024-07-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
76,26, 2024-07-01 ,110.6, sales ,30,0,0.02,0.02,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
77,27, 2024-08-01 ,119.1, sales ,30,0,0.01,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
78,28, 2024-08-01 ,106, sales ,30,0,0.04,0.03,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
79,29, 2024-08-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
80,30, 2024-08-01 ,110.6, sales ,30,0,0.02,0.02,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
81,31, 2024-09-01 ,119.1, sales ,30,0,0.01,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
82,32, 2024-09-01 ,106, sales ,30,0,0.03,0.03,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
83,33, 2024-09-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
84,34, 2024-09-01 ,110.6, sales ,30,0,0.02,0.01,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
85,35, 2024-10-01 ,119.1, sales ,30,0,0,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
86,36, 2024-10-01 ,106, sales ,30,0,0.03,0.03,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
87,37, 2024-10-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
88,38, 2024-10-01 ,110.6, sales ,30,0,0.02,0.01,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
89,39, 2024-11-01 ,119.1, sales ,30,0,0,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
90,40, 2024-11-01 ,106, sales ,30,0,0.03,0.02,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
91,41, 2024-11-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
92,42, 2024-11-01 ,110.6, sales ,30,0,0.01,0.01,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
93,43, 2024-12-01 ,119.1, sales ,30,0,0,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
94,44, 2024-12-01 ,106, sales ,30,0,0.03,0.02,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
95,45, 2024-12-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
96,46, 2024-12-01 ,110.6, sales ,30,0,0.01,0.01,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
97,47, 2025-01-01 ,119.1, sales ,30,0,0,0,118.8, Steady sales growth with some seasonality and volatility. Forecast indicates ongoing positive performance.
98,48, 2025-01-01 ,106, sales ,30,0,0.02,0.02,114.3, Sales have been increasing with higher seasonality and volatility. Forecast shows potential for further growth.
99,49, 2025-01-01 ,1247.1, sales ,30,0,0,0,1289.3, Consistent sales growth with low seasonality and volatility. Forecast indicates stable performance.
100,50, 2025-01-01 ,110.6, sales ,30,0,0.01,0.01,118.8, Sales have been increasing with moderate seasonality and volatility. Forecast suggests continued positive trend.
